model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,5,92,128,0.7804978849999316
llama3.2:3b,CPU,5,92,128,3.8195011030002206
llama3.2:3b,GPU,1,94,128,0.848140918998979
llama3.2:3b,CPU,1,94,128,3.9912027020000096
llama3.2:3b,GPU,2,94,128,0.8676849120001862
llama3.2:3b,CPU,2,94,128,3.731066369000473
llama3.2:3b,GPU,3,94,128,0.8191909969991684
llama3.2:3b,CPU,3,94,128,3.626918759999171
llama3.2:3b,GPU,4,94,128,0.8506042150002031
llama3.2:3b,CPU,4,94,128,3.5583292320006876
llama3.2:3b,GPU,5,94,128,0.7915085009990435
llama3.2:3b,CPU,5,94,128,3.84083773599923
llama3.2:3b,GPU,1,96,128,0.8520815789997869
llama3.2:3b,CPU,1,96,128,4.0312797269998555
llama3.2:3b,GPU,2,96,128,0.8746296469998924
llama3.2:3b,CPU,2,96,128,5.8225157799988665
llama3.2:3b,GPU,3,96,128,0.8168087499998364
llama3.2:3b,CPU,3,96,128,3.4233196199984377
llama3.2:3b,GPU,4,96,128,0.513775526000245
llama3.2:3b,CPU,4,96,128,3.4646709259995987
llama3.2:3b,GPU,5,96,128,0.5040128040000127
llama3.2:3b,CPU,5,96,128,3.465992429000835
llama3.2:3b,GPU,1,98,128,0.8499910190002993
llama3.2:3b,CPU,1,98,128,3.5551211399997555
llama3.2:3b,GPU,2,98,128,0.8461407590002636
llama3.2:3b,CPU,2,98,128,3.5170116249992134
llama3.2:3b,GPU,3,98,128,0.8424804869991931
llama3.2:3b,CPU,3,98,128,3.4887572239986184
llama3.2:3b,GPU,4,98,128,0.8385333030000766
llama3.2:3b,CPU,4,98,128,3.230921438000223
llama3.2:3b,GPU,5,98,128,0.8424904070016055
llama3.2:3b,CPU,5,98,128,3.608092211999974
llama3.1:8b,GPU,1,10,128,0.4736045000008744
llama3.1:8b,CPU,1,10,128,3.467328530001396
llama3.1:8b,GPU,2,10,128,0.45555635199889366
llama3.1:8b,CPU,2,10,128,1.9707401840005332
llama3.1:8b,GPU,3,10,128,0.44919715499963786
llama3.1:8b,CPU,3,10,128,1.9695781610007543
llama3.1:8b,GPU,4,10,128,2.202922810000018
llama3.1:8b,CPU,4,10,128,2.003014226000232
llama3.1:8b,GPU,5,10,128,0.45769604300039646
llama3.1:8b,CPU,5,10,128,2.2223415539992857
llama3.1:8b,GPU,1,12,128,0.45430800299982366
llama3.1:8b,CPU,1,12,128,2.4795176930001617
llama3.1:8b,GPU,2,12,128,0.4353216559993598
llama3.1:8b,CPU,2,12,128,1.8774638030008646
llama3.1:8b,GPU,3,12,128,0.43345439999939117
llama3.1:8b,CPU,3,12,128,1.9162138479987334
llama3.1:8b,GPU,4,12,128,0.36549967599967204
llama3.1:8b,CPU,4,12,128,1.9112173659996188
llama3.1:8b,GPU,5,12,128,0.4294323370013444
llama3.1:8b,CPU,5,12,128,2.048686160998841
llama3.1:8b,GPU,1,14,128,0.7437854050003807
llama3.1:8b,CPU,1,14,128,1.4141783360009867
llama3.1:8b,GPU,2,14,128,1.2496905850002804
llama3.1:8b,CPU,2,14,128,5.669527657999424
llama3.1:8b,GPU,3,14,128,0.24120411700096156
llama3.1:8b,CPU,3,14,128,5.676866220001102
llama3.1:8b,GPU,4,14,128,0.7383426279993728
llama3.1:8b,CPU,4,14,128,4.200785095001265
llama3.1:8b,GPU,5,14,128,1.0400263739993534
llama3.1:8b,CPU,5,14,128,0.813158865999867
llama3.1:8b,GPU,1,16,128,2.2483188240003074
llama3.1:8b,CPU,1,16,128,2.6424174110015883
llama3.1:8b,GPU,2,16,128,0.30533174100128235
llama3.1:8b,CPU,2,16,128,2.5061014559996693
llama3.1:8b,GPU,3,16,128,2.0758253580006567
llama3.1:8b,CPU,3,16,128,3.82090388999859
llama3.1:8b,GPU,4,16,128,0.5209075490001851
llama3.1:8b,CPU,4,16,128,2.0080627229999664
llama3.1:8b,GPU,5,16,128,0.23925508499996795
llama3.1:8b,CPU,5,16,128,6.142242559000806
llama3.1:8b,GPU,1,18,128,0.5569036649994814
llama3.1:8b,CPU,1,18,128,3.1043138780005393
llama3.1:8b,GPU,2,18,128,0.5221560600002704
llama3.1:8b,CPU,2,18,128,2.3340458029997535
llama3.1:8b,GPU,3,18,128,0.5520719230007671
llama3.1:8b,CPU,3,18,128,2.3830672210006014
llama3.1:8b,GPU,4,18,128,0.5251454879999073
llama3.1:8b,CPU,4,18,128,2.3350650089996634
llama3.1:8b,GPU,5,18,128,0.528964516999622
llama3.1:8b,CPU,5,18,128,2.59316670500084
llama3.1:8b,GPU,1,20,128,0.5674095150006906
