backend,model_size,words,mean_sec,median_sec,min_sec,max_sec,std_sec,count,machine,test_name
GPU,3b,86,6.710003133863211,6.384965775068849,5.985845590941608,7.996708969119936,0.7901425367829791,5,Machine_B,Test9
GPU,3b,88,5.945165555458516,6.001037778798491,4.962654430884868,7.207134048920125,0.8889214179490518,5,Machine_B,Test9
GPU,3b,90,6.043972748704254,6.286148096900433,4.975434276740998,6.686411622911692,0.647496418124767,5,Machine_B,Test9
GPU,3b,92,7.149854491930455,6.30763158435002,6.183308536186814,10.478989440016448,1.8642080668096197,5,Machine_B,Test9
GPU,3b,94,6.214400008134544,6.288481852039695,5.890998418908566,6.506534625776112,0.23675548187334242,5,Machine_B,Test9
GPU,3b,96,6.290583528392017,6.427477870136499,4.987131713889539,7.230146809946746,0.8130829629527954,5,Machine_B,Test9
GPU,3b,98,5.829356816038489,5.59147882880643,5.08843745989725,6.784946982748807,0.6944730545174415,5,Machine_B,Test9
GPU,8b,10,7.105058028036728,7.48576917569153,3.6951490119099617,14.29141931887716,3.259285735367079,10,Machine_B,Test9
GPU,8b,12,6.7681351793464275,3.7176786970812827,3.466456864960492,14.759124387986958,4.631620974518231,10,Machine_B,Test9
GPU,8b,14,8.293994115572422,8.233638585777953,1.252149426843971,14.459313138388096,4.406562481165307,10,Machine_B,Test9
GPU,8b,16,7.182562254043296,5.693163572112098,1.238088499289006,14.466174591798335,4.809143740911302,10,Machine_B,Test9
GPU,8b,18,9.226213807286694,8.451218262081966,4.374757599085569,14.502584652975202,5.071847284226975,10,Machine_B,Test9
GPU,8b,20,8.021497751539574,5.101689550327137,4.366191924083978,14.8109234389849,4.651516247607277,10,Machine_B,Test9
GPU,8b,22,7.982003773981705,5.272008798550814,3.389516106341034,14.5273098917678,4.891867041170539,10,Machine_B,Test9
GPU,8b,24,11.388321002898738,14.051479831105098,5.052510618232191,18.74483832716942,5.047069602398293,10,Machine_B,Test9
GPU,8b,26,12.696759589994326,14.054754965938628,5.054829967673868,17.40522729512304,4.2538418498544175,10,Machine_B,Test9
GPU,8b,28,9.60718673276715,11.061931738397107,3.4791032909415662,14.869894256349651,4.978507391695362,10,Machine_B,Test9
GPU,8b,30,9.074454083666206,7.199965458363295,5.054762694053352,14.902735182084143,4.0964225947126645,10,Machine_B,Test9
GPU,8b,32,9.34372869208455,9.59232890442945,3.4823611439205706,14.936171219684184,5.6219001610217525,10,Machine_B,Test9
GPU,8b,34,8.829838260263205,8.400456282077357,2.134873080067337,14.91134945070371,5.465322054112978,10,Machine_B,Test9
GPU,8b,36,9.758561790874229,9.598033175803721,2.1287582190707326,14.627735564019533,4.860793897416561,10,Machine_B,Test9
GPU,8b,38,9.42023566798307,8.937751211458817,2.1453477148897946,14.975282522384076,5.161121346944199,10,Machine_B,Test9
GPU,8b,40,9.676040159864352,9.67213958222419,3.4756950340233743,15.01163735287264,4.967231026972771,10,Machine_B,Test9
GPU,8b,42,12.458689950965345,14.598435637541115,2.148390837013721,15.855694052763283,4.317343343491806,10,Machine_B,Test9
GPU,8b,44,11.472388013452292,11.574252318358049,7.986516917124391,15.036426989361644,3.490381217089749,10,Machine_B,Test9
GPU,8b,46,10.827958873147145,8.999215223360807,7.557788617908955,15.023636881262064,3.2778915411672016,10,Machine_B,Test9
GPU,8b,48,11.155071888770909,9.786272379336879,7.766429238952696,15.078966896049678,3.278261121654477,10,Machine_B,Test9
GPU,8b,50,11.68967902176082,14.768738137092441,2.605162865947932,15.218055015895516,4.4671272796453545,10,Machine_B,Test9
GPU,8b,52,10.027706201886758,8.54986749542877,4.888179380912334,14.814137637149544,3.541337839975268,10,Machine_B,Test9
GPU,8b,54,11.214029754139483,12.866890837205574,2.141079716850072,15.152813175693154,4.436295639481716,10,Machine_B,Test9
GPU,8b,56,10.5868660885375,9.935171807883307,2.1504082907922566,15.136642566882074,4.33316620466627,10,Machine_B,Test9
GPU,8b,58,11.395706703467294,12.505546256667003,3.724160836543888,15.664083912968636,4.092271123107058,10,Machine_B,Test9
GPU,8b,60,9.052506774663925,8.111414625076577,2.585710240062326,14.891350337304177,5.315226137277215,10,Machine_B,Test9
GPU,8b,62,9.22232210286893,8.383389100665227,2.1390854441560805,14.910802205093203,5.1517023739796635,10,Machine_B,Test9
GPU,8b,64,9.173214409314095,9.201245676958933,3.721290734130889,14.937328092753887,4.642470857937469,10,Machine_B,Test9
GPU,8b,66,10.953906981367618,11.55308281746693,3.268139523919672,15.286397071089596,4.492077902311242,10,Machine_B,Test9
GPU,8b,68,11.905673158168792,12.810458795167506,8.218045194633305,15.240296768955886,3.3412344323565244,10,Machine_B,Test9
GPU,8b,70,7.973202266171574,7.893979446031153,2.1448034159839158,15.010465256869791,4.453221656359233,10,Machine_B,Test9
GPU,8b,72,11.15547429244034,9.235924900975078,8.232225974090397,15.2503117993474,3.371923902347624,10,Machine_B,Test9
GPU,8b,74,11.467324226163328,10.478944006143138,8.232233482878655,15.321570568252357,3.3079207913254893,10,Machine_B,Test9
GPU,8b,76,13.677254906622693,14.965838058153167,8.012848157901317,16.82571050291881,2.9801525691237134,10,Machine_B,Test9
GPU,8b,78,10.03995822444558,8.677905509481207,2.841509026940912,15.37176225380972,4.839324190539075,10,Machine_B,Test9
GPU,8b,80,10.472770165093243,10.707768477965146,3.265802760142833,15.057622025255114,4.669284325471138,10,Machine_B,Test9
